Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Gordan,1,0,0,0,0,0,0
Garcia Valdes,1,0,0,0,0,0,0
Perez Lajara,1,0,0,0,0,0,0
Ramdai,1,0,0,0,0,0,0
Zubizarreta,1,0,0,0,0,0,0
Quinn,1,0,0,0,0,1,0
Scnwartz,1,0,0,0,0,0,0
Grigoriy,1,0,0,0,0,0,0
Monterrey,1,0,0,0,1,0,0
Rosier,0,0,0,1,0,0,0
Wills,0,0,0,0,0,1,0
Farrada,1,0,0,0,0,0,0
Jules,1,0,0,2,0,0,2
Cuiyun,1,0,0,0,0,0,0
Voltaire,2,0,0,0,0,0,0
Hamumtanga,1,0,0,0,0,0,0
Robertson,2,0,1,2,0,0,0
Tola,0,0,0,0,0,0,1
Broadbent,1,0,0,0,0,0,0
Barbee,1,0,0,0,0,0,0
Dareus,0,0,0,1,0,0,0
McDougall,1,0,0,0,0,0,0
Kearns,1,0,0,0,0,1,0
Bowden,4,0,0,0,0,0,0
Alcantara,1,0,0,0,0,0,0
Balderrama,0,0,0,0,2,0,0
Bousraou,0,0,0,0,0,1,0
Soahi,1,0,0,0,0,0,0
Montague,2,0,0,0,0,0,0
Harris,33,1,0,10,2,0,0
Barber,0,0,0,1,1,0,0
Rubins,1,0,0,0,0,0,0
Gairy,1,0,0,0,0,0,0
Alvarez Hernandez,1,0,0,0,0,0,0
Wilcox,1,0,0,0,0,1,0
Christiansen,2,0,0,0,0,0,0
Buchannon,0,0,0,1,0,0,0
Maille,0,0,0,0,0,1,0
Alfalahi,1,0,0,0,0,0,0
Ratanatarakoan,0,0,1,0,0,0,0
Gatica,1,0,0,0,0,0,0
Choudhury,1,0,1,0,0,0,0
Lonere,1,0,0,0,0,0,0
Venero,2,0,0,0,0,0,0
Tsolmon,0,0,1,0,0,0,0
Tejera Rodriguez,0,0,0,0,1,0,0
Roque,1,0,0,0,0,0,0
Mhuhuhlluh,1,0,0,0,0,0,0
Munford,1,0,0,0,0,0,0
Draughon,1,0,0,1,0,0,0
Pinnix,1,0,0,0,0,0,0
Costas Andreu,0,0,0,0,1,0,0
Lockett,0,0,1,1,0,0,0
Eliza,1,0,0,0,0,0,0
Lucdor,1,0,0,0,0,0,0
Balogh,0,0,0,0,0,1,0
Sanchez-Ruiz,1,0,0,0,0,0,0
Ramjass,1,0,0,0,0,0,0
Farid,1,0,0,0,0,1,0
Ragsdale,1,0,0,0,0,0,0
