Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Mohmmednur,1,0,0,0,0,0,0
Mapangada,1,0,0,0,0,0,0
Gragis,1,0,0,0,0,0,0
Monal,0,1,0,0,0,0,0
Cardona,0,0,1,0,0,0,0
Saguilan,1,0,0,0,0,0,0
Ben'Karia,0,0,0,1,0,0,0
Chaidarun,1,0,0,0,0,0,0
Mykerriah,0,0,0,1,0,0,0
Baob,1,0,0,0,0,0,0
Linkay,1,0,0,0,0,0,0
Ybanez,0,0,0,0,0,1,0
Tunoa,0,0,1,0,0,0,0
Lenars,1,0,0,0,0,0,0
Ibn-Nazimool,1,0,0,0,0,0,0
Khamyl,1,0,0,0,0,0,0
Caricerano,1,0,0,0,0,0,0
Blue,5,0,0,0,0,0,0
Taj'Amir,1,0,0,0,0,0,0
Raequelle,1,0,0,0,0,0,0
Brook,11,0,0,0,0,1,0
Kyxana,1,0,0,0,0,0,0
Toli,1,0,0,0,0,0,0
Thulasi,1,0,0,0,0,0,0
Demonyah,1,0,0,0,0,0,0
Rashawan,0,0,0,1,0,0,0
Devonsce,0,0,0,1,0,0,0
Lagarrik,1,0,0,0,0,0,0
Laterrel,0,0,0,1,0,0,0
Blanco,0,0,0,0,1,0,0
Natal,1,0,0,0,0,0,0
Nytwon,0,0,0,1,0,0,0
Oluwanifemi,1,0,0,0,0,0,0
Masangkay,0,0,1,0,0,0,0
Kozaun,0,0,0,1,0,0,0
Oshea,1,0,0,0,0,0,0
Llise,1,0,0,0,0,0,0
Mishka,0,0,0,1,0,0,0
Dhan,0,0,0,0,0,0,1
Matrinos,0,0,0,1,0,0,0
Idrissa,1,0,0,0,0,0,0
Sysongdeth,1,0,0,0,0,0,0
Hallares,0,0,1,0,0,0,0
Jannells,1,0,0,0,0,0,0
Jiboleje,1,0,0,0,0,0,0
Adrez,1,0,0,0,0,0,0
Stinney,1,0,0,0,0,0,0
Dayshawn,1,0,0,0,0,0,0
Marqui,0,0,0,1,0,0,0
Tyeshania,1,0,0,0,0,0,0
Huynh,2,0,2,0,0,0,0
Shamon,1,0,0,3,0,0,0
Won,4,0,1,0,0,0,0
Ja'Lyn,0,0,0,1,0,0,0
Clintas,0,0,0,1,0,0,0
Verdillo,0,0,1,0,0,0,0
Raqavius,1,0,0,0,0,0,0
De'Angle,0,0,0,1,0,0,0
Aubrey,1,0,0,0,0,1,0
Ranique,1,0,0,0,0,0,0
H A,1,0,1,0,0,0,0
Kamlesh,0,0,1,0,0,0,0
Ozeona,1,0,0,0,0,0,0
Zucurra,1,0,0,0,0,0,0
Mothanakamolvit,1,0,0,0,0,0,0
Elijuwhan,1,0,0,0,0,0,0
Choondapurakkal,1,0,0,0,0,0,0
Vonnyelle,1,0,0,0,0,0,0
Okeefe,1,0,0,0,0,0,0
Shyteza,0,0,0,1,0,0,0
W,23,2,4,11,1,11,2
O'Brian,0,0,0,0,0,0,1
Emeail,1,0,0,0,0,0,0
Rosenberg,0,0,0,0,0,0,1
Denel,1,0,0,0,0,0,0
Kanwal,1,0,0,0,0,0,0
Kaimil,0,0,0,1,0,0,0
Chan,2,0,1,0,0,0,0
Chao,1,0,0,0,0,0,0
Cham,1,0,0,0,0,0,0
Sounakhen,1,0,0,0,0,0,0
Kazsimir,1,0,0,0,0,0,0
