Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Yenani,0,0,0,0,1,0,0
Karlorence,1,0,0,0,0,0,0
Satjeet,0,0,1,0,0,0,0
A,14,0,0,2,0,1,0
Shkoya,0,0,0,1,0,0,0
Sineshanie,1,0,0,0,0,0,0
Subeno,1,0,0,0,0,0,0
Ngopang,1,0,0,0,0,0,0
Centerri,0,0,0,1,0,0,0
Boct,0,0,0,0,0,1,0
Fiannaines,0,0,0,0,1,0,0
Jeveall,1,0,0,0,0,0,0
Braylia,1,0,0,0,0,0,0
Braylin,1,0,0,0,0,0,0
Kebba,1,0,0,0,0,0,0
Ayres,1,0,0,0,0,0,0
Cardona,1,0,0,0,0,0,0
Sioane,0,0,0,0,0,1,0
Zymeshia,1,0,0,0,0,0,0
Youndel,1,0,0,0,0,0,0
Kawallace,0,0,0,1,0,0,0
Daniakson,0,0,0,1,0,0,0
Cortlyn,1,0,0,0,0,0,0
Jussara,0,0,0,0,0,0,1
Iralbe,1,0,0,0,0,0,0
Xong,1,0,1,0,0,0,0
Jaydn,1,0,0,0,0,0,0
Alcovey,0,0,0,1,0,0,0
Nilly,0,0,0,0,0,1,0
Jestuin,1,0,0,0,0,0,0
Bexis,0,0,0,0,1,0,0
Sarum,0,0,0,0,0,0,1
Wembre,1,0,0,0,0,0,0
Jac'Quale,0,0,0,1,0,0,0
Eithin,0,0,0,0,0,1,0
Nalege,1,0,0,0,0,0,0
Zeryus,1,0,0,0,0,0,0
Bonico,0,0,0,1,0,0,0
Prensley,0,0,0,1,0,0,0
Julen,2,0,0,0,1,0,0
Tolu,1,0,0,0,0,0,0
Arlieny,1,0,0,0,0,0,0
Teivorus,1,0,0,0,0,0,0
Jizae,0,0,0,1,0,0,0
Ismaude,1,0,0,0,0,0,0
Cirala,0,0,0,1,0,0,0
Drauare,1,0,0,0,0,0,0
Darleres,1,0,0,0,0,0,0
Kendal,6,0,0,1,0,3,0
Jaffird,1,0,0,0,0,0,0
Sukhi,1,0,0,0,0,0,0
Hiu,1,0,0,0,0,0,0
Midjennie,0,0,0,1,0,0,0
Diaymaris,0,0,0,0,1,0,0
Kaontxeng,1,0,0,0,0,0,0
Ewarlyn,0,0,0,0,1,0,0
Reymir,1,0,0,0,0,0,0
Lanaighyah,0,0,0,1,0,0,0
Ezaricson,0,0,0,0,0,0,1
Yugdanys,1,0,0,0,0,0,0
Tomie,0,0,0,0,0,1,0
Kranti,0,0,1,0,0,0,0
Jorima,1,0,0,0,0,0,0
Odyle,0,0,0,1,0,0,0
Amituian,1,0,0,0,0,0,0
Jeausy,1,0,0,0,0,0,0
Yonny,1,0,0,0,0,0,0
Maroad,1,0,0,0,0,0,0
Waquel,0,0,0,1,0,0,0
Meisha-Gai,0,0,0,0,0,0,1
Idrissa,0,0,0,1,0,0,0
Hie,1,0,0,0,0,0,0
Sentellas,1,0,0,0,0,0,0
Navdeep,1,0,0,0,0,0,0
Adalin,1,0,0,0,0,0,0
Quasnun,1,0,0,0,0,0,0
Sabur,1,0,0,0,0,0,0
Demigio,1,0,0,0,0,0,0
Niuh,0,0,1,0,0,0,0
Dafflyn,1,0,0,0,0,0,0
Chequina,1,0,0,0,0,0,0
Kenyata,0,0,0,1,0,0,0
Nykeitria,0,0,0,1,0,0,0
Isayrh,0,0,0,0,1,0,0
Labriania,0,0,0,1,0,0,0
Frannicha,0,0,0,1,0,0,0
Channin,0,0,0,0,0,0,1
Duperat,0,0,0,1,0,0,0
Toshumdi,1,0,0,0,0,0,0
Jameck,1,0,0,0,0,0,0
Shamo,0,0,0,1,0,0,0
Nikency,0,0,0,1,0,0,0
Lliset,1,0,0,0,0,0,0
Vedalis,0,0,0,0,1,0,0
Harjit,1,0,0,0,0,0,0
Yohsion,1,0,0,0,0,0,0
Jarrrell,1,0,0,0,0,0,0
Veremis,0,0,0,0,1,0,0
Hakizimano,0,0,0,1,0,0,0
Densy,0,0,0,0,1,0,0
Tantanishia,1,0,0,0,0,0,0
Kelizmar,1,0,0,0,0,0,0
Weishan,1,0,0,0,0,0,0
Jenorye,1,0,0,0,0,0,0
Juste,1,0,0,0,0,0,0
Kanwarpal,1,0,0,0,0,0,0
Ettienn,1,0,0,0,0,0,0
Winlo,1,0,0,0,0,0,0
Abdelmoukoiram,1,0,0,0,0,0,0
Lemsley,1,0,0,0,0,0,0
Damarius,1,0,0,2,0,0,0
Narvell,0,0,0,1,0,0,0
Chapelle,1,0,0,0,0,0,0
Jan-Marcel,1,0,0,0,0,0,0
Kodi,3,0,0,0,0,0,0
Guerliale,1,0,0,0,0,0,0
Phikoon,1,0,0,0,0,0,0
Predroy,0,0,0,0,0,1,0
Rafapl,1,0,0,0,0,0,0
Zhaona,1,0,0,0,0,0,0
Keron,3,0,0,1,0,0,1
Messagrace,0,0,0,0,0,0,1
Jean-Will,1,0,0,0,0,0,0
Daethea,0,0,0,1,0,0,0
Chazwell,1,0,0,0,0,0,0
Michel-Edgard,0,0,0,1,0,0,0
Jianbo,1,0,0,0,0,0,0
Hodett,1,0,0,0,0,0,0
Isallys,0,0,0,0,1,0,0
Chung Lin,1,0,0,0,0,0,0
Chae,0,0,1,0,0,0,1
Molierr,0,0,0,1,0,0,0
Jarqueous,1,0,0,0,0,0,0
Chai,4,0,0,0,0,0,0
Chan,11,0,2,0,0,0,0
Chao,9,0,1,0,0,0,0
Micanselo,1,0,0,0,0,0,0
Amisadhai,1,0,0,0,0,0,0
Carmie,0,0,0,0,0,1,0
Chaquarrah,1,0,0,0,0,0,0
Chaw,0,0,1,0,0,0,0
Chau,4,0,5,0,0,0,0
Carmin,0,0,0,0,0,1,0
Chay,3,0,0,0,0,0,0
Mizraim,1,0,0,0,0,0,0
Genral,0,0,0,0,0,0,1
Tahleal,1,0,0,0,0,0,0
Duk,2,0,0,0,0,0,0
Traychelle,1,0,0,0,0,0,0
Rhakeem,0,0,0,1,0,0,0
Chricat,1,0,0,0,0,0,0
Luris,1,0,0,0,0,0,0
Kyin,1,0,0,0,0,0,0
Swe,1,0,0,0,0,0,0
A'Yiana,1,0,0,0,0,0,0
Bliss,1,0,1,0,0,1,0
Afvrill,1,0,0,0,0,0,0
Ahqueisha,0,0,0,1,0,0,0
Fredesmon,0,0,0,0,1,0,0
Gran-Paul,1,0,0,0,0,0,0
Shengyi,0,0,0,0,0,0,1
Fisnerline,1,0,0,0,0,0,0
Safala,1,0,0,0,0,0,0
Yennisleydi,1,0,0,0,0,0,0
Reston,1,0,0,0,0,0,0
Yenniser,1,0,0,0,0,0,0
Eike,1,0,0,0,0,0,0
Devananda,0,0,0,0,0,0,1
Sharumathi,0,0,1,0,0,0,0
Ashlan,1,0,0,0,0,1,0
Daekym,1,0,0,0,0,0,0
Joelvys,1,0,0,0,0,0,0
Kharih,1,0,0,0,0,0,0
Chiwei,1,0,0,0,0,0,0
Chirum,1,0,0,0,0,0,0
Shamao,1,0,0,0,0,0,0
Widaad,0,0,0,0,0,0,1
Kioko,1,0,0,0,0,0,0
Ja'Shanae,0,0,0,1,0,0,0
Yinnay,0,0,0,0,1,0,0
Danialix,1,0,0,0,0,0,0
Kui-Hua,1,0,0,0,0,0,0
Shaitvallce,0,0,0,0,0,0,1
Sequva,1,0,0,0,0,0,0
Fangli,1,0,0,0,0,0,0
Sha-Nekwa,1,0,0,0,0,0,0
Sandrillout,1,0,0,0,0,0,0
Hedaayah,0,0,0,1,0,0,0
Mariamella,0,0,0,0,1,0,0
Fotney,1,0,0,0,0,0,0
Beautiful,1,0,0,0,0,0,0
Ty'Quirra,0,0,0,1,0,0,0
Mamedy,1,0,0,0,0,0,0
Maxie,1,0,0,1,0,1,0
Ralphell,1,0,0,0,0,0,0
Nayommy,1,0,0,0,0,0,0
Xariz,1,0,0,0,0,0,0
Kerijon,0,0,0,0,0,1,0
Dorsell,1,0,0,0,0,0,0
Meshace,1,0,0,0,0,0,0
Xaric,1,0,0,0,0,0,0
Shebryea,1,0,0,0,0,0,0
Lagny,0,0,0,1,0,0,0
Tueuekio,1,0,0,0,0,0,0
Masquez,0,0,0,1,0,0,0
Alotia,1,0,0,0,0,0,0
Bhanu,1,0,0,0,0,0,0
Obefunmilayo,0,0,0,1,0,0,0
Chicago,1,0,0,0,0,0,0
Sidny,1,0,0,0,0,0,0
Odrisamer,0,0,0,0,0,0,1
Trebeon,0,0,0,1,0,0,0
Jockens,0,0,0,1,0,0,0
Kimanu,0,0,1,0,0,0,0
Samsunnhar,0,0,1,0,0,0,0
Enarze,1,0,0,0,0,0,0
Wiefta,1,0,0,0,0,0,0
Augre,1,0,0,0,0,0,0
Kharon,1,0,0,0,0,0,0
Wenxi,1,0,0,0,0,0,0
Charlens,1,0,0,0,0,0,0
Giorgi,1,0,0,0,0,0,0
Theo,0,0,0,2,0,1,0
Thei,1,0,0,0,0,0,0
Faugues,1,0,0,0,0,0,0
Bany,0,0,0,0,1,0,0
Keshawn,7,0,0,3,0,0,0
